"","1","2","3","4","5","6","7","8","9","10","Mean"
"P35858",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"Q08380",0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.977
"A0A075B6K5;P80748",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"A0A0A0MS15",0.94,0.93,0.93,0.93,0.93,0.94,0.92,0.93,0.93,0.93,0.931
"P01023",0.9,0.91,0.92,0.91,0.91,0.91,0.91,0.9,0.9,0.91,0.908
"Q06033",0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.889
"P08571",0.89,0.88,0.92,0.93,0.87,0.87,0.84,0.84,0.88,0.88,0.88
"P01024",0.88,0.88,0.89,0.89,0.87,0.87,0.86,0.87,0.88,0.88,0.877
"P02790",0.86,0.87,0.86,0.86,0.87,0.86,0.86,0.87,0.87,0.88,0.866
"P00738;P00739",0.85,0.85,0.84,0.84,0.84,0.83,0.84,0.85,0.84,0.85,0.843
"A0A075B6I0",0.78,0.79,0.79,0.79,0.76,0.76,0.82,0.82,0.74,0.74,0.779
"P02763",0.77,0.77,0.79,0.78,0.76,0.78,0.79,0.78,0.77,0.76,0.775
"P0C0L4;P0C0L5",0.66,0.65,0.64,0.64,0.66,0.66,0.66,0.66,0.65,0.64,0.652
"P00751",0.59,0.59,0.59,0.59,0.59,0.61,0.61,0.62,0.59,0.61,0.599
"P13671",0.54,0.56,0.55,0.53,0.54,0.54,0.54,0.56,0.55,0.55,0.546
"P02760",0.54,0.55,0.55,0.55,0.54,0.53,0.55,0.54,0.54,0.54,0.543
"P04180",0.51,0.53,0.54,0.55,0.52,0.53,0.5,0.49,0.52,0.53,0.522
"P01011",0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.5,0.52,0.53,0.519
"P0C0L5",0.49,0.51,0.51,0.49,0.5,0.5,0.48,0.47,0.48,0.49,0.492
"P00450",0.44,0.42,0.47,0.45,0.44,0.43,0.44,0.44,0.44,0.43,0.44
"P02743",0.45,0.46,0.46,0.45,0.43,0.43,0.42,0.43,0.43,0.43,0.439
"Q9UK55",0.45,0.45,0.42,0.41,0.41,0.42,0.47,0.47,0.41,0.42,0.433
"P18428",0.38,0.39,0.43,0.43,0.48,0.47,0.35,0.35,0.41,0.42,0.411
"P04003",0.4,0.41,0.41,0.42,0.41,0.41,0.41,0.39,0.4,0.43,0.409
"P05156",0.37,0.39,0.4,0.39,0.37,0.38,0.38,0.38,0.37,0.39,0.382
"P00736",0.41,0.41,0.41,0.4,0.38,0.37,0.34,0.35,0.34,0.35,0.376
"P02748",0.35,0.37,0.36,0.35,0.34,0.34,0.37,0.36,0.34,0.34,0.352
"Q96IY4",0.32,0.32,0.33,0.34,0.31,0.31,0.31,0.31,0.31,0.32,0.318
"P00738",0.28,0.29,0.3,0.29,0.29,0.28,0.29,0.29,0.29,0.3,0.29
"P36955",0.28,0.3,0.3,0.3,0.28,0.28,0.27,0.27,0.28,0.28,0.284
"P07357",0.34,0.34,0.23,0.21,0.29,0.3,0.19,0.19,0.23,0.23,0.255
"P09871",0.26,0.27,0.24,0.25,0.24,0.25,0.26,0.25,0.26,0.26,0.254
"P08603",0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.221
"P35542",0.2,0.22,0.21,0.2,0.22,0.21,0.21,0.21,0.2,0.21,0.209
"P07358",0.14,0.16,0.14,0.13,0.16,0.16,0.13,0.13,0.15,0.15,0.145
"P06681",0.14,0.14,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.14,0.141
"P07360",0.14,0.14,0.15,0.15,0.13,0.13,0.13,0.14,0.13,0.14,0.138
"O75882",0.12,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.121
"P00740",0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.112
"Q14624",0.1,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.109
"P20851",0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.11,0.107
"P05546",0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.07,0.074
